entity	customer_bin	last_id	resume_path	updated_at
announcements	000740001307	3428456		2026-02-24 14:51:03.788389+00:00
announcements	020240002363	7394787		2026-02-24 14:51:03.785075+00:00
announcements	020440003656	3729742		2026-02-24 14:51:03.814731+00:00
announcements	030440003698	3763988		2026-02-24 14:51:03.811257+00:00
announcements	050740004819	51660		2026-02-24 14:51:03.810877+00:00
announcements	051040005150	3644600		2026-02-24 14:51:04.071301+00:00
announcements	100140011059	3629410		2026-02-24 14:51:04.070427+00:00
announcements	120940001946	3475958		2026-02-24 14:51:04.069625+00:00
announcements	140340016539	16556		2026-02-24 14:51:04.070899+00:00
announcements	150540000186	4638226		2026-02-24 14:51:04.069457+00:00
announcements	171041003124	3764684		2026-02-24 14:51:04.207700+00:00
announcements	210240019348	5964156		2026-02-24 14:51:04.207439+00:00
announcements	210240033968	5701002		2026-02-24 14:51:04.206375+00:00
announcements	210941010761	6318711		2026-02-24 14:51:04.205746+00:00
announcements	230740013340	10600303		2026-02-24 14:51:04.205757+00:00
announcements	231040023028	11148916		2026-02-24 14:51:04.331574+00:00
announcements	780140000023	3797257		2026-02-24 14:51:04.334967+00:00
announcements	900640000128	35157		2026-02-24 14:51:04.337661+00:00
announcements	940740000911	22294		2026-02-24 14:51:04.336340+00:00
announcements	940940000384	3733445		2026-02-24 14:51:04.332974+00:00
announcements	960440000220	67122		2026-02-24 14:51:04.595050+00:00
announcements	970940001378	3750825		2026-02-24 14:51:04.595502+00:00
announcements	971040001050	3897302		2026-02-24 14:51:04.596881+00:00
announcements	980440001034	3742309		2026-02-24 14:51:04.596863+00:00
announcements	981140001551	4360		2026-02-24 14:51:04.595834+00:00
announcements	990340005977	3846706		2026-02-24 14:51:04.713703+00:00
announcements	990740002243	4032364		2026-02-24 14:51:04.713684+00:00
contract_items	000740001307	24647252		2026-02-24 14:51:08.276005+00:00
contract_items	020240002363	24649728		2026-02-24 14:51:08.278760+00:00
contract_items	020440003656	24676526		2026-02-24 15:01:59.213213+00:00
contract_items	030440003698	24657001		2026-02-24 14:57:58.282294+00:00
contract_items	050740004819	24579095		2026-02-24 14:51:08.280122+00:00
contract_items	051040005150	24700383		2026-02-24 14:58:01.101149+00:00
contract_items	100140011059	24660095		2026-02-24 14:58:06.551907+00:00
contract_items	120940001946	24613322		2026-02-24 14:51:57.471847+00:00
contract_items	140340016539	24641208		2026-02-24 14:52:30.129459+00:00
contract_items	150540000186	24663087		2026-02-24 14:53:16.403854+00:00
contract_items	171041003124	24703065		2026-02-24 14:56:33.743277+00:00
contract_items	210240019348	24644590		2026-02-24 14:56:51.418349+00:00
contract_items	210240033968	24623121		2026-02-24 15:02:56.754773+00:00
contract_items	210941010761	24697006		2026-02-24 14:58:39.880341+00:00
contract_items	230740013340	24684534		2026-02-24 15:01:13.685518+00:00
contract_items	231040023028	24661604		2026-02-24 15:17:54.242436+00:00
contract_items	780140000023	24685136		2026-02-24 15:01:43.519256+00:00
contract_items	900640000128	24420542		2026-02-24 15:01:18.820993+00:00
contract_items	940740000911	24701331		2026-02-24 15:01:56.468033+00:00
contract_items	940940000384	24674755		2026-02-24 15:04:40.320468+00:00
contract_items	960440000220	24146874		2026-02-24 15:02:02.878144+00:00
contract_items	970940001378	24658905		2026-02-24 15:14:56.146012+00:00
contract_items	971040001050	24697686		2026-02-24 15:09:47.575733+00:00
contract_items	980440001034	24697568		2026-02-24 15:05:47.196501+00:00
contract_items	981140001551	24619544		2026-02-24 15:05:47.708917+00:00
contract_items	990340005977	22841568		2026-02-24 15:06:14.358439+00:00
contract_items	990740002243	24703734		2026-02-24 15:38:46.495958+00:00
contracts	000740001307	87713		2026-02-24 14:51:06.534012+00:00
contracts	020240002363	15063168		2026-02-24 14:51:06.533989+00:00
contracts	020440003656	212064		2026-02-24 14:51:06.549684+00:00
contracts	030440003698	44605		2026-02-24 14:51:06.546545+00:00
contracts	050740004819	62459		2026-02-24 14:51:06.550221+00:00
contracts	051040005150	44727		2026-02-24 14:51:06.686412+00:00
contracts	100140011059	19559		2026-02-24 14:51:06.682828+00:00
contracts	120940001946	31517		2026-02-24 14:51:06.685473+00:00
contracts	140340016539	10128		2026-02-24 14:51:06.685444+00:00
contracts	150540000186	2364779		2026-02-24 14:51:06.691877+00:00
contracts	171041003124	3985685		2026-02-24 14:51:06.826227+00:00
contracts	210240019348	12307869		2026-02-24 14:51:06.810952+00:00
contracts	210240033968	12486988		2026-02-24 14:51:06.829314+00:00
contracts	210941010761	13439597		2026-02-24 14:51:06.827639+00:00
contracts	230740013340	18320868		2026-02-24 14:51:06.820417+00:00
contracts	231040023028	19125133		2026-02-24 14:51:06.995699+00:00
contracts	780140000023	47369		2026-02-24 14:51:06.972290+00:00
contracts	900640000128	257651		2026-02-24 14:51:06.975541+00:00
contracts	940740000911	16078		2026-02-24 14:51:06.960000+00:00
contracts	940940000384	7890		2026-02-24 14:51:06.958718+00:00
contracts	960440000220	15577		2026-02-24 14:51:07.211259+00:00
contracts	970940001378	25439		2026-02-24 14:51:07.214160+00:00
contracts	971040001050	65968		2026-02-24 14:51:07.213124+00:00
contracts	980440001034	146516		2026-02-24 14:51:07.211291+00:00
contracts	981140001551	3757		2026-02-24 14:51:07.214131+00:00
contracts	990340005977	17225		2026-02-24 14:51:07.346936+00:00
contracts	990740002243	66456		2026-02-24 14:51:07.347981+00:00
lots	000740001307	7946725		2026-02-24 14:51:05.337751+00:00
lots	020240002363	19685156		2026-02-24 14:51:05.330362+00:00
lots	020440003656	8718651		2026-02-24 14:51:05.333304+00:00
lots	030440003698	8796138		2026-02-24 14:51:05.323533+00:00
lots	050740004819	110756		2026-02-24 14:51:05.334287+00:00
lots	051040005150	8506532		2026-02-24 14:51:05.513864+00:00
lots	100140011059	8467611		2026-02-24 14:51:05.513818+00:00
lots	120940001946	8062972		2026-02-24 14:51:05.514530+00:00
lots	140340016539	33914		2026-02-24 14:51:05.514258+00:00
lots	150540000186	11316521		2026-02-24 14:51:05.515728+00:00
lots	171041003124	8797661		2026-02-24 14:51:05.699776+00:00
lots	210240019348	15719163		2026-02-24 14:51:05.701882+00:00
lots	210240033968	14825632		2026-02-24 14:51:05.702733+00:00
lots	210941010761	17053784		2026-02-24 14:51:05.702380+00:00
lots	230740013340	27368513		2026-02-24 14:51:05.699766+00:00
lots	231040023028	28520744		2026-02-24 14:51:05.813506+00:00
lots	780140000023	8869404		2026-02-24 14:51:05.832930+00:00
lots	900640000128	77831		2026-02-24 14:51:05.830003+00:00
lots	940740000911	46552		2026-02-24 14:51:05.814188+00:00
lots	940940000384	8726462		2026-02-24 14:51:05.829792+00:00
lots	960440000220	144692		2026-02-24 14:51:05.938831+00:00
lots	970940001378	8767098		2026-02-24 14:51:05.945673+00:00
lots	971040001050	9128148		2026-02-24 14:51:05.948578+00:00
lots	980440001034	8747783		2026-02-24 14:51:05.947685+00:00
lots	981140001551	4002		2026-02-24 14:51:05.940235+00:00
lots	990340005977	8994592		2026-02-24 14:51:06.055041+00:00
lots	990740002243	9525914		2026-02-24 14:51:06.061121+00:00
plans	000740001307	2056646		2026-03-01 09:25:39.679836+00:00
plans	020240002363	52393960		2026-03-01 09:25:39.700426+00:00
plans	020440003656	696472		2026-03-01 09:25:39.685186+00:00
plans	030440003698	1666671		2026-03-01 09:25:39.716630+00:00
plans	050740004819	1641541		2026-03-01 09:25:39.699582+00:00
plans	051040005150	757543		2026-03-01 09:25:39.909878+00:00
plans	100140011059	640535		2026-03-01 09:25:39.867876+00:00
plans	120940001946	1006737		2026-03-01 09:25:39.872702+00:00
plans	140340016539	373128		2026-03-01 09:25:39.844762+00:00
plans	150540000186	5511196		2026-03-01 09:25:39.854470+00:00
plans	171041003124	9353219		2026-03-01 09:25:58.608134+00:00
plans	210240019348	43313575		2026-03-01 09:25:40.025335+00:00
plans	210240033968	43735652		2026-03-01 09:25:40.030587+00:00
plans	210941010761	46003782		2026-03-01 09:25:40.058770+00:00
plans	230740013340	62718302		2026-03-01 09:25:40.060050+00:00
plans	231040023028	64296311		2026-03-01 09:25:40.453749+00:00
plans	780140000023	1322946		2026-03-01 09:25:40.222458+00:00
plans	900640000128	414500		2026-03-01 09:25:40.222927+00:00
plans	940740000911	1401407		2026-03-01 09:25:40.227061+00:00
plans	940940000384	52545		2026-03-01 09:25:40.410808+00:00
plans	960440000220	374134		2026-03-01 09:25:40.426029+00:00
plans	970940001378	1522910		2026-03-01 09:25:40.391655+00:00
plans	971040001050	2231234		2026-03-01 09:25:40.560618+00:00
plans	980440001034	2903763		2026-03-01 09:25:40.567685+00:00
plans	981140001551	294470		2026-03-01 09:25:40.565868+00:00
plans	990340005977	1194264		2026-03-01 09:25:40.568350+00:00
plans	990740002243	1449144		2026-03-01 09:25:40.729906+00:00
